metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
vus,1746722391,1.000000,,,,,,,,,,,,,,,,
vus_max,1746722391,1.000000,,,,,,,,,,,,,,,,
http_reqs,1746722391,1.000000,,,,true,,POST,https://petstore.octoperf.com/actions/Account.action,HTTP/2.0,default,,302,,tls1.2,https://petstore.octoperf.com/actions/Account.action,,
http_req_duration,1746722391,261.563100,,,,true,,POST,https://petstore.octoperf.com/actions/Account.action,HTTP/2.0,default,,302,,tls1.2,https://petstore.octoperf.com/actions/Account.action,,
http_req_blocked,1746722391,868.588100,,,,true,,POST,https://petstore.octoperf.com/actions/Account.action,HTTP/2.0,default,,302,,tls1.2,https://petstore.octoperf.com/actions/Account.action,,
http_req_connecting,1746722391,262.266500,,,,true,,POST,https://petstore.octoperf.com/actions/Account.action,HTTP/2.0,default,,302,,tls1.2,https://petstore.octoperf.com/actions/Account.action,,
http_req_tls_handshaking,1746722391,558.029200,,,,true,,POST,https://petstore.octoperf.com/actions/Account.action,HTTP/2.0,default,,302,,tls1.2,https://petstore.octoperf.com/actions/Account.action,,
http_req_sending,1746722391,0.000000,,,,true,,POST,https://petstore.octoperf.com/actions/Account.action,HTTP/2.0,default,,302,,tls1.2,https://petstore.octoperf.com/actions/Account.action,,
http_req_waiting,1746722391,261.563100,,,,true,,POST,https://petstore.octoperf.com/actions/Account.action,HTTP/2.0,default,,302,,tls1.2,https://petstore.octoperf.com/actions/Account.action,,
http_req_receiving,1746722391,0.000000,,,,true,,POST,https://petstore.octoperf.com/actions/Account.action,HTTP/2.0,default,,302,,tls1.2,https://petstore.octoperf.com/actions/Account.action,,
http_req_failed,1746722391,0.000000,,,,true,,POST,https://petstore.octoperf.com/actions/Account.action,HTTP/2.0,default,,302,,tls1.2,https://petstore.octoperf.com/actions/Account.action,,
http_reqs,1746722391,1.000000,,,,true,,GET,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,HTTP/2.0,default,,200,,tls1.2,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,,
http_req_duration,1746722391,263.087500,,,,true,,GET,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,HTTP/2.0,default,,200,,tls1.2,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,,
http_req_blocked,1746722391,0.000000,,,,true,,GET,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,HTTP/2.0,default,,200,,tls1.2,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,,
http_req_connecting,1746722391,0.000000,,,,true,,GET,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,HTTP/2.0,default,,200,,tls1.2,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,,
http_req_tls_handshaking,1746722391,0.000000,,,,true,,GET,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,HTTP/2.0,default,,200,,tls1.2,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,,
http_req_sending,1746722391,0.000000,,,,true,,GET,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,HTTP/2.0,default,,200,,tls1.2,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,,
http_req_waiting,1746722391,262.545400,,,,true,,GET,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,HTTP/2.0,default,,200,,tls1.2,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,,
http_req_receiving,1746722391,0.542100,,,,true,,GET,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,HTTP/2.0,default,,200,,tls1.2,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,,
http_req_failed,1746722391,0.000000,,,,true,,GET,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,HTTP/2.0,default,,200,,tls1.2,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=179DC7564AABFB8C19D3B6894CAEE96F,,
checks,1746722391,1.000000,Logged is successfully,,,,,,,,default,,,,,,,
vus,1746722392,1.000000,,,,,,,,,,,,,,,,
vus_max,1746722392,1.000000,,,,,,,,,,,,,,,,
vus,1746722393,1.000000,,,,,,,,,,,,,,,,
vus_max,1746722393,1.000000,,,,,,,,,,,,,,,,
vus,1746722394,1.000000,,,,,,,,,,,,,,,,
vus_max,1746722394,1.000000,,,,,,,,,,,,,,,,
data_sent,1746722394,1142.000000,,,,,,,,,default,,,,,,,
data_received,1746722394,8669.000000,,,,,,,,,default,,,,,,,
iteration_duration,1746722394,4410.848200,,,,,,,,,default,,,,,,,
iterations,1746722394,1.000000,,,,,,,,,default,,,,,,,
